_id,Label_fr,Label_ar,Longitude,Latitude
1,ARIANA,أريانة,"10,19748","36,85979"
2,ETTAHRIR,التحرير,"10,12862","36,82918"
3,IBN KHALDOUN,ابن خلدون,"10,13411","36,83083"
4,LES JASMINS,الياسمين,"10,13454","36,82588"
5,14 JANVIER 2014,14 جانفي,"10,13986","36,82289"
6,CAMPUS,المركب الجامعي,"10,14385","36,82605"
7,ROMMANA,الرمانة,"10,15085","36,82365"
8,MEFTAH SADALLAH,مفتاح سعدالله,"10,15626","36,8132"
9,CAMPUS MANOUBA,المركب الجامعي منوبة,"10,05981","36,81396"
10,PALAIS EL WARDA,قصر الوردة,"10,07461","36,8092"
11,TECHNOPOLE,القطب التكنولوجي,"10,08053","36,80811"
12,ETTADHAMEN,التضامن,"10,11759","36,83584"
13,CITE EL INTILAKA,حي الانطلاقة,"10,11695","36,83935"
14,L'INDÉPENDANCE,الاستقلال,"10,19591","36,85441"
15,EL FELL,الفل,"10,19237","36,84699"
16,CITÉ SPORTIVE,الحي الرياضي,"10,18196","36,83852"
17,CITE DES JEUNES,حي الشباب,"10,18277","36,83329"
18,CITE EL KHADRA,حي الخضراء,"10,19037","36,82923"
19,LES JARDINS,الحدائق,"10,18556","36,82346"
20,PALESTINE,فلسطين,"10,18206288","36,82001323"
21,MOHAMED V,محمد الخامس,"10,18357624","36,81568515"
22,NELSON MANDELLA,نلسن منديلا,"10,18333248","36,81248433"
23,ERRAZI,الرازي,"10,08247","36,80739"
24,MONCEF BEY,منصف باي,"10,09065","36,80528"
25,SLIMANE KAHIA,سليمان الكاهية,"10,09908","36,80334"
26,BEN AROUS,بن عروس,"10,21898","36,7554"
27,ABOU EL KACEM ECHEBBI,أبو القاسم الشابي,"10,21474","36,75246"
28,CITE ENNOUR,حي النور,"10,20473","36,7515"
29,OUARDIA 6,الوردية 6,"10,19906","36,75424"
30,IBN SINA,ابن سينا,"10,19393","36,75428"
31,KABARIA,الكبارية,"10,19059","36,75978"
32,MOHAMED ALI,محمد علي,"10,18388","36,76788"
33,13 AOUT,أوت 13,"10,1792","36,77504"
34,MOHAMED MANACHOU,محمد مناشو,"10,17984","36,7821"
35,BAB ALIOUA,باب عليوة,"10,17981251","36,78580674"
36,HABIB THAMEUR,حبيب ثامر,"10,17864","36,80131"
37,STATION REPUBLIQUE,محطة الجمهورية,"10,18081","36,80649"
38,DENDEN,دندان,"10,11075","36,80221"
39,ARTISANAT,الصناعات التقليدية,"10,11601","36,80293"
40,KHAZNADAR,خزندار,"10,12177","36,80421"
41,SAIDIA,السعيدية,"10,12664","36,80541"
42,BARDO,باردو,"10,13523","36,80724"
43,20 MARS,20 مارس,"10,14238","36,80835"
44,BOUCHOUCHA,بوشوشة,"10,15026","36,80953"
45,BAB SAADOUN,باب سعدون,"10,16219","36,80986"
46,BAB LASAAL,باب لعسل,"10,16817","36,81331"
47,BAB EL KHADHRA,باب الخضراء,"10,17239","36,8103"
48,BARCELONE,برشلونة,"10,18055248","36,79610889"
49,TAHAR HADDAD,طاهر حداد,"10,18701592","36,76065047"
50,GHAZELI,غزالي,"10,18765965","36,75466789"
51,CITÉ MUNICIPALE,الحي البلدي,"10,18873253","36,74844413"
52,ENNESRI,النسري,"10,19049206","36,74517732"
53,EL MONTAZAH,المنتزه,"10,19319572","36,74290766"
54,EL MOUROUJ 2,المروج 2,"10,19774475","36,74218548"
55,EL MOUROUJ 1,المروج 1,"10,20657036","36,73854051"
56,L'ENVIRONNEMENT,البييئة,"10,21038983","36,7331065"
57,EL MOUROUJ 3,المروج3,"10,21073315","36,72870399"
58,MARTYRS,الشهداء,"10,21210644","36,72364767"
59,EL MOUROUJ 4,المروج 4,"10,21639798","36,71965741"
60,10 DECEMBRE,10 ديسمبر,"10,18406868","36,84428902"
61,FARHAT HACHED,فرحات حشاد,"10,1862099","36,79790026"
62,STATION TUNIS MARINE,محطة تونس البحرية,"10,19283682","36,80020252"
